user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
528,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
675,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
701,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
540,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
544,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
355,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
626,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
644,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
335,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
496,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
679,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
735,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
235,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
642,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
751,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
602,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
144,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
300,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
106,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
30,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.1
309,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
198,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
710,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
684,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
594,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
392,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
192,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
139,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
