metric,value,std_error,count
nDCG@5,0.5552737403552274,0.009418388634168879,3
precision@5,0.14481792717086833,0.005664915522732976,3
HR@10,0.5982726423902894,0.00609181089398934,3
WHR@10,0.5546936673993069,0.008917634512738316,3
recall@10,0.5973477269695758,0.0062716987303264755,3
recall@5,0.5881076673093479,0.0074894382567799195,3
WHR@5,0.5551320528211284,0.009259966931595632,3
HR@5,0.5901493930905696,0.007387909086608342,3
precision@10,0.07507002801120448,0.0025480959942101224,3
nDCG@10,0.555199522435195,0.009217078668706297,3
