user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,3,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.3
6,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
9,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
522,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526,3,0.6666666666666666,0.75,0.7653606369886217,0.6666666666666666,0.4,0.6666666666666666,0.7037037037037036,0.7653606369886217,0.6666666666666666,0.2
16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
530,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
26,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
32,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
547,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
548,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
551,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
45,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
564,2,1.0,0.4444444444444445,0.3868528072345415,1.0,0.4,1.0,0.4736842105263158,0.3868528072345415,1.0,0.2
52,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
566,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
55,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
565,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
572,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
576,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
581,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
71,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,0.5,0.5263157894736842,0.6131471927654584,0.5,0.1
584,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
586,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
587,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
78,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
728,2,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2
80,2,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2
81,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
83,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
598,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
87,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
605,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
96,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
609,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
624,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
628,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
630,4,0.75,0.8571428571428572,0.8318724637288825,0.75,0.6,0.75,0.7941176470588235,0.8318724637288825,0.75,0.3
633,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
126,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
128,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
133,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
658,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
667,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
668,4,1.0,0.6428571428571428,0.6096199500078983,1.0,0.8,1.0,0.7058823529411765,0.6096199500078983,1.0,0.4
670,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
674,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
163,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
676,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
165,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,2,1.0,0.4444444444444445,0.3868528072345415,1.0,0.4,1.0,0.4736842105263158,0.3868528072345415,1.0,0.2
167,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
675,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
688,5,0.4,0.6,0.5531464700081437,0.4,0.4,0.4,0.475,0.5531464700081437,0.4,0.2
176,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
180,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
184,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
187,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
705,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
708,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
709,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
727,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
217,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
730,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
732,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
735,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
737,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
229,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
742,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
743,4,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.4
235,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
757,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
764,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
252,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
767,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
770,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
258,2,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2
261,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
262,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
266,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
781,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
270,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
784,5,0.2,0.3333333333333333,0.33916020527361607,0.2,0.2,0.2,0.25,0.33916020527361607,0.2,0.1
786,2,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2
276,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
278,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
288,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
801,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
802,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
824,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
313,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
317,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
322,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
834,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
326,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
328,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,6,0.6,0.7999999999999999,0.7227265726449518,0.5,0.6,0.5,0.6000000000000001,0.6448244864271548,0.5,0.3
333,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
342,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
354,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
358,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
359,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
376,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
379,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
380,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,3,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.1
393,2,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2
396,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,2,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.2
401,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
