metric,value,std_error,count
recall@10,0.6031699346405229,0.003866580712916848,3
HR@5,0.599281045751634,0.005346009701399284,3
precision@5,0.14509803921568626,0.007069708383262725,3
precision@10,0.07352941176470586,0.003446744280636656,3
WHR@5,0.5624509803921568,0.0040734915058881415,3
WHR@10,0.5608791996330696,0.0035853967175841998,3
HR@10,0.6031699346405229,0.003866580712916848,3
nDCG@5,0.5625411426671226,0.0035001064191039055,3
recall@5,0.5990849673202615,0.005158742833467743,3
nDCG@10,0.5623883934784603,0.003347376575628092,3
