method,HR@5,nDCG@5,HR@10,nDCG@10
recency,0.3392921877832155,0.2653424643488043,0.3894568663668718,0.2628014956216668
frequency,0.386537067246692,0.3380098684346007,0.4196243717111036,0.3300456224836233
racf,0.3850688780134131,0.3401689538371601,0.4191624517005158,0.3310870890157105
tifuknn,0.3761600507522204,0.3281086738354682,0.4106268575341441,0.3202264848076937
fpmc,0.1289861639780073,0.0974462395478361,0.1504913744242183,0.0968716250591091
triple2vec,0.3748942662074799,0.3248002466936862,0.4079269055818811,0.3162523152889738
sets2sets,0.3676666062473566,0.3162163362562504,0.4014416478935239,0.3089068031477571
dnntsp,0.2867273880732282,0.2139119549187196,0.3357607150769195,0.2091919228329504
cbp,0.3789181922542444,0.3284436852730729,0.4140919768910525,0.3200004521813963
diffrec,0.1917557851489336,0.1694589371157305,0.2093203618828958,0.1620891380265718
