metric,value,std_error,count
nDCG@5,0.32844368527307294,0.004848170512823772,3
WHR@10,0.3111835830815382,0.004991225263954599,3
recall@10,0.40815846636336955,0.0031407612061045975,3
precision@5,0.18546311401123802,0.0022964027771781087,3
HR@10,0.4140919768910525,0.003172599464388629,3
HR@5,0.37891819225424445,0.0038490523809319543,3
recall@5,0.35102200490805674,0.0034409779972179983,3
WHR@5,0.3278178415345354,0.004949428570977904,3
nDCG@10,0.3200004521813963,0.004865640202711294,3
precision@10,0.12194127243066884,0.00163366094091737,3
