user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
823,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,0.5,0.5263157894736842,0.6131471927654584,0.5,0.1
5357,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3366,15,0.0,0.0,0.0,0.0,0.0,0.1,0.018181818181818177,0.0636207881989517,0.06666666666666667,0.1
9933,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
6000,12,0.8,0.8000000000000002,0.8304198973631919,0.3333333333333333,0.8,0.6,0.7454545454545454,0.6906478832608418,0.5,0.6
816,6,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.1
2136,11,0.0,0.0,0.0,0.0,0.0,0.1,0.018181818181818177,0.0636207881989517,0.09090909090909091,0.1
10094,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1160,5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.1
4383,6,0.8,0.9333333333333332,0.8687949224876582,0.6666666666666666,0.8,0.6666666666666666,0.7555555555555556,0.7751482523375255,0.6666666666666666,0.4
7700,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
3415,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5493,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6453,4,0.25,0.35714285714285715,0.39038004999210163,0.25,0.2,0.25,0.2941176470588235,0.39038004999210163,0.25,0.1
14106,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
17907,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4044,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13720,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17253,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16476,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9692,3,0.3333333333333333,0.4166666666666667,0.46927872602275644,0.3333333333333333,0.2,0.3333333333333333,0.37037037037037035,0.46927872602275644,0.3333333333333333,0.1
