metric,value,std_error,count
nDCG@10,0.16208913802657188,0.002954689407725605,3
precision@10,0.06749139024832336,0.0009979068050390298,3
HR@5,0.19175578514893363,0.0023036258477036474,3
HR@10,0.20932036188289585,0.002962776591886761,3
nDCG@5,0.16945893711573057,0.0028180145646637036,3
WHR@10,0.1560061380350887,0.0025877416983117302,3
precision@5,0.10538336052202285,0.001642160834207886,3
recall@10,0.2056273144215279,0.002981454184165131,3
recall@5,0.17317454920028738,0.0025118512816932792,3
WHR@5,0.16947062614544942,0.0027692566669799638,3
