user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
11059,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16367,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3364,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4577,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16922,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16853,9,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1
4040,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
12024,6,0.4,0.5333333333333333,0.5087403079104241,0.3333333333333333,0.4,0.5,0.4,0.4539036202482201,0.5,0.3
16407,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18023,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7769,9,0.2,0.26666666666666666,0.2139862647345275,0.1111111111111111,0.2,0.2222222222222222,0.25925925925925924,0.23202214456934253,0.2222222222222222,0.2
7864,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3443,6,0.4,0.4666666666666666,0.38356636737133554,0.3333333333333333,0.4,0.5,0.3777777777777778,0.34222207292834134,0.5,0.3
6287,6,0.2,0.3333333333333333,0.33916020527361607,0.16666666666666666,0.2,0.5,0.3333333333333333,0.4103915680233244,0.5,0.3
9075,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.1
13289,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4661,17,0.0,0.0,0.0,0.0,0.0,0.1,0.07272727272727274,0.07336392209936006,0.058823529411764705,0.1
16327,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10966,9,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.07407407407407407,0.07834851647149513,0.1111111111111111,0.1
2480,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13721,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
16066,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17959,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
870,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7250,2,0.5,0.0,0.0,0.5,0.2,0.5,0.0,0.0,0.5,0.1
1298,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1
2092,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
9525,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
16077,11,0.0,0.0,0.0,0.0,0.0,0.1,0.07272727272727274,0.07336392209936006,0.09090909090909091,0.1
2864,2,0.5,0.0,0.0,0.5,0.2,0.5,0.0,0.0,0.5,0.1
7006,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3693,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3945,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
9403,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7675,5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.2
6525,7,0.4,0.5333333333333333,0.5087403079104241,0.2857142857142857,0.4,0.2857142857142857,0.36734693877551017,0.4123144993714362,0.2857142857142857,0.2
4033,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
11959,3,0.3333333333333333,0.4166666666666667,0.46927872602275644,0.3333333333333333,0.2,0.3333333333333333,0.37037037037037035,0.46927872602275644,0.3333333333333333,0.1
3772,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.1
12325,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12342,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
