metric,value,std_error,count
nDCG@5,0.2159937723237161,0.0036852965241567647,3
recall@10,0.3342586314134797,0.007239978941511933,3
recall@5,0.2700869915078235,0.005962250060237621,3
HR@10,0.3389389479632198,0.007241426707783579,3
precision@10,0.0953462783171521,0.001045683101014196,3
nDCG@10,0.21133816011475773,0.003840271071564515,3
precision@5,0.13489967637540454,0.001610025044298802,3
HR@5,0.29011542610571733,0.0058454773618255886,3
WHR@10,0.20730703696571606,0.0037761882460948452,3
WHR@5,0.21561488673139154,0.0035146392607254655,3
