user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
5352,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4856,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15470,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12042,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2491,6,0.4,0.26666666666666666,0.3007851801491498,0.3333333333333333,0.4,0.3333333333333333,0.3111111111111111,0.26836379988737025,0.3333333333333333,0.2
1237,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3993,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10722,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
624,3,0.6666666666666666,0.75,0.7653606369886217,0.6666666666666666,0.4,0.6666666666666666,0.7037037037037036,0.7653606369886217,0.6666666666666666,0.2
13662,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6666,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11468,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3936,2,1.0,0.4444444444444445,0.3868528072345415,1.0,0.4,1.0,0.4736842105263158,0.3868528072345415,1.0,0.2
3513,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14843,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11116,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13198,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6625,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3581,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
4150,5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.1
4201,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
12422,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3515,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
11196,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17402,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10630,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
40,7,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.1
1530,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15823,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1742,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17833,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15276,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14241,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
8257,3,0.3333333333333333,0.4166666666666667,0.46927872602275644,0.3333333333333333,0.2,0.3333333333333333,0.37037037037037035,0.46927872602275644,0.3333333333333333,0.1
9687,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11595,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17654,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4328,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5540,4,0.25,0.35714285714285715,0.39038004999210163,0.25,0.2,0.25,0.2941176470588235,0.39038004999210163,0.25,0.1
10754,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17894,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
785,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5213,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
