metric,value,std_error,count
nDCG@10,0.09687162505910919,0.0008505564437599606,3
recall@5,0.12534017950256351,0.002906218861508215,3
HR@10,0.15049137442421837,0.0028233025257626125,3
recall@10,0.14952960438220628,0.002839936204939992,3
precision@10,0.02996193583469277,0.0002855891110492785,3
WHR@5,0.09694414954066939,0.0007495417719932503,3
HR@5,0.12898616397800736,0.0028411281134994534,3
precision@5,0.044444444444444446,0.0005275197466324146,3
WHR@10,0.09512027211277356,0.0008114532404345337,3
nDCG@5,0.09744623954783611,0.0007601037237820199,3
