metric,value,std_error,count
HR@10,0.4196243717111036,0.003060583029417149,3
WHR@5,0.33391501304769383,0.0054675075277501916,3
precision@10,0.2251714397921576,0.0029895254339833274,3
precision@5,0.2606715606307776,0.003942790529131701,3
HR@5,0.38653706724669207,0.00434677229751236,3
nDCG@5,0.3380098684346007,0.005102816476883901,3
WHR@10,0.3168862137465354,0.005172362405656335,3
recall@10,0.40856363219204733,0.0032724191265343055,3
recall@5,0.3538803319954111,0.004307039713999314,3
nDCG@10,0.33004562248362335,0.00493985132236301,3
