metric,value,std_error,count
WHR@10,0.3221088198789916,0.005516310171768785,3
nDCG@10,0.33108708901571055,0.005518931970568892,3
recall@5,0.35625520424776186,0.0029632306554867767,3
WHR@5,0.3397131089762955,0.005797532544372023,3
nDCG@5,0.34016895383716017,0.005635158834942259,3
recall@10,0.41321091348030575,0.002584704298806753,3
HR@10,0.41916245170051586,0.002560871320153095,3
precision@5,0.1903027007431575,0.0023006908478436575,3
precision@10,0.1235272793184702,0.0013349557332889526,3
HR@5,0.3850688780134131,0.0032346172539283718,3
