user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
10880,1,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5
7857,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12354,2,0.5,0.0,0.0,0.5,0.3333333333333333,0.5,0.0,0.0,0.5,0.3333333333333333
7014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12815,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6413,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3039,4,0.25,0.28571428571428575,0.2463023887407299,0.25,0.2,0.25,0.2647058823529412,0.2463023887407299,0.25,0.1
14223,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16958,2,0.5,0.0,0.0,0.5,0.2,0.5,0.0,0.0,0.5,0.1111111111111111
8594,3,0.3333333333333333,0.0,0.0,0.3333333333333333,0.2,0.3333333333333333,0.0,0.0,0.3333333333333333,0.1
8812,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13893,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13047,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8077,2,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.3333333333333333
12282,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
16576,8,0.0,0.0,0.0,0.0,0.0,0.25,0.07692307692307693,0.08431423425588572,0.25,0.2
7913,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,0.5,0.5263157894736842,0.6131471927654584,0.5,0.1
15232,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5723,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4888,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16947,1,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,1.0,0.3333333333333333
14186,7,0.2,0.26666666666666666,0.2139862647345275,0.14285714285714285,0.2,0.14285714285714285,0.18367346938775508,0.17342765698823942,0.14285714285714285,0.1
16799,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9119,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9077,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13546,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3035,7,0.2,0.06666666666666665,0.13120507751234176,0.14285714285714285,0.2,0.2857142857142857,0.12244897959183672,0.10633668103022983,0.2857142857142857,0.2
17391,5,0.8,0.6666666666666666,0.6608397947263838,0.8,0.8,1.0,0.7500000000000001,0.6608397947263838,1.0,0.7142857142857143
10709,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4180,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.2
10109,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7180,2,0.5,0.0,0.0,0.5,0.2,0.5,0.0,0.0,0.5,0.1
12144,4,0.25,0.35714285714285715,0.39038004999210163,0.25,0.2,0.25,0.2941176470588235,0.39038004999210163,0.25,0.1
7496,1,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,1.0,0.3333333333333333
7988,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1109,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16086,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
