metric,value,std_error,count
precision@5,0.22752103559870548,0.0027802693029074952,3
recall@10,0.38429886954863757,0.0031757745108608976,3
HR@10,0.3939948887861509,0.002972622836799552,3
nDCG@5,0.26841454546545274,0.0031015982384919845,3
nDCG@10,0.26560073431634645,0.0027960342764454093,3
HR@5,0.34357281553398056,0.0030525817417201453,3
WHR@10,0.2575017230971816,0.00302890492109125,3
recall@5,0.3195682457818892,0.0032102593479197868,3
precision@10,0.21153002517080188,0.002050003206252459,3
WHR@5,0.26435095289464217,0.0032612432378121307,3
