metric,value,std_error,count
nDCG@5,0.3416168675462156,0.004025062683727308,3
recall@5,0.3577181573349035,0.003956705723598993,3
HR@10,0.4234610623105768,0.0030199405431242704,3
WHR@5,0.337151024811219,0.0041876924685050245,3
precision@10,0.2281190219345559,0.002516235280018495,3
recall@10,0.4119665051025058,0.0030956741042576863,3
nDCG@10,0.3337242707693883,0.0039163584911494215,3
HR@5,0.3906720604099245,0.003994018917510763,3
precision@5,0.2634822006472492,0.0035954187648229658,3
WHR@10,0.3205126432715329,0.0038747562599186604,3
