metric,value,std_error,count
HR@5,0.38434304207119746,0.004242191793673177,3
nDCG@5,0.3381957298382842,0.002572718203979272,3
recall@10,0.4061599016629378,0.003538877852252267,3
precision@10,0.22509636821287304,0.0028682081513636292,3
HR@10,0.41752041917090454,0.003459929029783462,3
WHR@5,0.33383849591616577,0.0027353123444952237,3
WHR@10,0.31688757180977023,0.0025483067118703385,3
nDCG@10,0.3303923445951608,0.0026362002466039287,3
precision@5,0.25842071197411004,0.003738756857380551,3
recall@5,0.3521916229209716,0.004217740548574931,3
