metric,value,std_error,count
recall@10,0.395916932357347,0.0021670029636712486,3
precision@10,0.1150172195033533,0.0010642248758555414,3
HR@10,0.40144164789352393,0.001945001490698587,3
nDCG@5,0.31621633625625045,0.002603422949202034,3
HR@5,0.36766660624735664,0.0003964463337141703,3
nDCG@10,0.3089068031477571,0.0028289923553668473,3
recall@5,0.3418151890245593,0.0013186162871907606,3
WHR@10,0.3010927110017137,0.0025007838481156306,3
precision@5,0.17638209171651265,0.0018595508907633849,3
WHR@5,0.31561760043271736,0.0024399158462710016,3
