metric,value,std_error,count
HR@5,0.3794088457389428,0.0038858651224573403,3
precision@5,0.1822912621359223,0.0020950487514005533,3
recall@5,0.35302424203279054,0.0036756871709677625,3
HR@10,0.41407453639492475,0.0031933810916956054,3
precision@10,0.11871197411003237,0.000971671732500167,3
nDCG@5,0.3310470589263583,0.0034677421641144046,3
WHR@5,0.3298919710278933,0.0034016850952838388,3
nDCG@10,0.32310580032930686,0.003140689617929347,3
WHR@10,0.31375875055478547,0.0030962080252384763,3
recall@10,0.4085021612856525,0.0031645539918703784,3
