metric,value,std_error,count
WHR@5,0.3282590024143422,0.0045138732203946225,3
WHR@10,0.31198187462463584,0.004542019028968835,3
recall@10,0.4060837682924481,0.0032132309563724258,3
precision@5,0.18273139158576054,0.001877156562570799,3
HR@5,0.37883603020496226,0.0035342435094950354,3
nDCG@10,0.3208550920869471,0.004743316182511307,3
HR@10,0.41174392561771206,0.0033005879027341073,3
recall@5,0.3517782990468911,0.0035305465401610707,3
nDCG@5,0.32908766425454616,0.004538228678523198,3
precision@10,0.11889967637540454,0.0009675888331844087,3
