method,HR@5,nDCG@5,HR@10,nDCG@10
recency,0.082636331396459,0.0674506804075857,0.1008911440288803,0.0641170794207361
frequency,0.1051531767465968,0.0944223253858817,0.1150448429910742,0.0877403187783652
racf,0.1124914750252339,0.0975882958815638,0.1317973114990056,0.0895125006105307
tifuknn,0.1052336525083885,0.083367559424444,0.1276978865856842,0.0759666529164453
fpmc,0.0742818561257058,0.0722844397738878,0.0794894303303338,0.0674902349061474
triple2vec,0.1018441225413972,0.0862406206711992,0.1159211779209323,0.0800141476561212
sets2sets,0.1077788689745478,0.0917790497668406,0.1301676935607699,0.0872051053723538
dnntsp,0.1149589437215265,0.0948234936143746,0.1332884188948515,0.0886061685408633
cbp,0.1200057287830427,0.1032570902083377,0.1325976523680918,0.0971612055749538
diffrec,0.1025765883732984,0.0855359387195971,0.1199976422355504,0.078199821275878
