user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
2299,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10189,8,0.2,0.26666666666666666,0.2139862647345275,0.125,0.2,0.125,0.17307692307692307,0.1595890771248963,0.125,0.1
5287,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8757,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8228,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1747,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3924,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10519,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3033,6,0.4,0.4000000000000001,0.3600546145772339,0.3333333333333333,0.4,0.3333333333333333,0.35555555555555557,0.32124463208930526,0.3333333333333333,0.2
8141,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3829,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15481,4,0.25,0.35714285714285715,0.39038004999210163,0.25,0.2,0.25,0.2941176470588235,0.39038004999210163,0.25,0.1
925,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5168,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16856,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3787,4,0.25,0.28571428571428575,0.2463023887407299,0.25,0.2,0.25,0.2647058823529412,0.2463023887407299,0.25,0.1
20343,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9705,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16694,24,0.2,0.26666666666666666,0.2139862647345275,0.041666666666666664,0.2,0.2,0.2,0.2051166673279435,0.08333333333333333,0.2
8129,13,0.0,0.0,0.0,0.0,0.0,0.1,0.05454545454545456,0.06943122193677725,0.07692307692307693,0.1
11603,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18174,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8123,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
874,2,1.0,0.5555555555555556,0.6131471927654584,1.0,0.4,1.0,0.5263157894736842,0.6131471927654584,1.0,0.2
