metric,value,std_error,count
recall@10,0.12383488367454194,0.00027495286295102067,3
WHR@5,0.1048212061101823,0.0002881306544197679,3
nDCG@5,0.10325709020833777,0.00011136582871852467,3
nDCG@10,0.0971612055749538,0.00040899136196054795,3
precision@10,0.056747688026843435,0.0011516165487774062,3
HR@5,0.12000572878304279,0.0014720031839327902,3
WHR@10,0.0964145008002078,0.0001709388988334046,3
recall@5,0.09462066803098834,0.0005248571560891801,3
precision@5,0.07817333660692365,0.0016848657641322835,3
HR@10,0.13259765236809185,0.0003572978087056881,3
