metric,value,std_error,count
WHR@10,0.07689039904161082,0.001052898842158657,3
HR@5,0.10257658837329842,0.00013356717609471638,3
recall@10,0.1119253723204735,0.0005681181625668432,3
WHR@5,0.08645435095226404,0.0017284280582211798,3
precision@5,0.06885997217448236,0.000666278171275808,3
precision@10,0.051043456911367545,0.00025867060527504755,3
nDCG@5,0.08553593871959712,0.0016017119210941346,3
HR@10,0.11999764223555043,0.00046471950075674227,3
nDCG@10,0.07819982127587803,0.0012427651875195878,3
recall@5,0.07862234824227606,0.0004279884633772942,3
