metric,value,std_error,count
precision@10,0.05065881004992225,0.0006606754903240485,3
WHR@5,0.09566580540064458,0.0016259637528816475,3
WHR@10,0.08707074955871114,0.0012564875859007953,3
precision@5,0.07002209673459366,0.0011733663781339058,3
recall@5,0.09378511001954248,0.0004824491709227983,3
HR@10,0.13328841889485152,0.0009369658748308837,3
nDCG@5,0.09482349361437466,0.0016763317826779785,3
HR@5,0.11495894372152658,0.0010333257478525404,3
nDCG@10,0.08860616854086335,0.0013976066753110536,3
recall@10,0.1265511859900057,0.0009388877353295795,3
