user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
20246,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
912,5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.1
11283,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8291,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18713,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2390,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10081,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9773,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18142,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.1
3001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3683,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11121,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19874,8,0.2,0.3333333333333333,0.33916020527361607,0.125,0.2,0.125,0.1923076923076923,0.2529427027676571,0.125,0.1
2759,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5247,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19624,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14989,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7264,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3573,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.1
4625,13,0.2,0.26666666666666666,0.2139862647345275,0.07692307692307693,0.2,0.1,0.16363636363636364,0.1388624438735545,0.07692307692307693,0.1
9418,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16355,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16159,2,0.5,0.4444444444444445,0.3868528072345415,0.5,0.2,0.5,0.4736842105263158,0.3868528072345415,0.5,0.1
1192,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13654,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11603,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16501,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6784,32,0.2,0.3333333333333333,0.33916020527361607,0.03125,0.2,0.1,0.18181818181818182,0.22009176629808014,0.03125,0.1
9521,17,0.2,0.19999999999999998,0.16958010263680803,0.058823529411764705,0.2,0.1,0.14545454545454548,0.11004588314904007,0.058823529411764705,0.1
1132,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14557,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10432,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15340,14,0.2,0.13333333333333333,0.14606834984270645,0.07142857142857142,0.2,0.1,0.12727272727272726,0.09478836436955078,0.07142857142857142,0.1
16130,24,0.2,0.26666666666666666,0.2139862647345275,0.041666666666666664,0.2,0.2,0.18181818181818182,0.2024832320725062,0.08333333333333333,0.2
10798,7,0.4,0.6,0.5531464700081437,0.2857142857142857,0.4,0.2857142857142857,0.38775510204081626,0.4483039899025303,0.2857142857142857,0.2
11509,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12544,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6637,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
