metric,value,std_error,count
WHR@5,0.07179483682061634,0.0004304414966519989,3
HR@10,0.07948943033033383,0.004047751696013358,3
precision@10,0.027146247647106967,0.0009125408231277332,3
HR@5,0.07428185612570587,0.0004957388861529271,3
WHR@10,0.0628857390917281,0.0007759464707017981,3
recall@5,0.06299540963066867,0.0006382009561347281,3
nDCG@10,0.0674902349061474,0.0007204852178016725,3
precision@5,0.040592519846141255,0.00026341725082954626,3
nDCG@5,0.07228443977388786,0.0006557951899114262,3
recall@10,0.07594678548761992,0.0039675327977230215,3
