metric,value,std_error,count
nDCG@10,0.08774031877836523,0.0007309847787822369,3
precision@10,0.06474551082947842,0.0013239293048952867,3
HR@5,0.10515317674659681,0.0011979705616138067,3
precision@5,0.07914586572823744,0.0018291023113626863,3
HR@10,0.11504484299107427,0.0011935780183440392,3
recall@5,0.07543149856541413,0.0006253877080670778,3
recall@10,0.10116272382420016,0.0008518963601253962,3
WHR@5,0.09253452533590023,0.001151894198049155,3
nDCG@5,0.09442232538588176,0.0010902277680221789,3
WHR@10,0.08206868899126019,0.0005738105836024574,3
