user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
13155,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18188,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,4,0.25,0.2142857142857143,0.19519002499605081,0.25,0.2,0.5,0.23529411764705882,0.19519002499605081,0.5,0.2
14253,7,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.1
204,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17889,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13516,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4872,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12149,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8244,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16922,5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.1
17413,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19246,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
866,10,0.0,0.0,0.0,0.0,0.0,0.3,0.14545454545454548,0.206415932235089,0.3,0.3
10370,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20307,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13301,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17520,12,0.0,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.07839826897867533,0.08333333333333333,0.1
6001,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505,8,0.2,0.19999999999999998,0.16958010263680803,0.125,0.2,0.125,0.15384615384615385,0.12647135138382856,0.125,0.1
12576,12,0.2,0.19999999999999998,0.16958010263680803,0.08333333333333333,0.2,0.1,0.14545454545454548,0.11004588314904007,0.08333333333333333,0.1
19729,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15965,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14414,6,0.2,0.19999999999999998,0.16958010263680803,0.16666666666666666,0.2,0.16666666666666666,0.17777777777777778,0.15130120674940672,0.16666666666666666,0.1
2951,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10401,32,0.4,0.26666666666666666,0.3007851801491498,0.0625,0.4,0.4,0.3272727272727272,0.32824101092638996,0.125,0.4
