metric,value,std_error,count
HR@5,0.11249147502523393,0.0014831848999174223,3
WHR@10,0.08740533120036909,0.0011340889903830164,3
recall@10,0.122430392785621,0.0009935758738485617,3
precision@10,0.05805712415091252,0.001078081562118322,3
nDCG@5,0.09758829588156387,0.0016007926250937406,3
recall@5,0.08516273165243719,0.0008983992665290381,3
HR@10,0.13179731149900561,0.0012862381417716034,3
nDCG@10,0.08951250061053075,0.00096139937282466,3
precision@5,0.0777477698666012,0.0019934659833139713,3
WHR@5,0.09831403603807237,0.0017096191141960583,3
