metric,value,std_error,count
nDCG@10,0.06411707942073612,0.0005877309498323986,3
recall@5,0.05873805596066015,0.0009019255309135583,3
WHR@10,0.059471220085477415,0.0005673818575240992,3
WHR@5,0.06524544782585538,0.0005270003852063854,3
recall@10,0.0885110061951009,0.000737913704904627,3
HR@5,0.08263633139645905,0.0011986901751809096,3
precision@10,0.057224437091856685,0.0012652034901691077,3
nDCG@5,0.06745068040758576,0.0003679193690158476,3
HR@10,0.10089114402888034,0.0006713906514272395,3
precision@5,0.06369451946422237,0.0012510966241714213,3
