metric,value,std_error,count
recall@10,0.12279845624958174,0.001501345568621097,3
WHR@10,0.08515851696639214,8.958922326253112e-05,3
HR@10,0.1301676935607699,0.001490924900984941,3
precision@10,0.05105164088714298,0.0007318140242608469,3
WHR@5,0.09230524410981078,0.00046174639768572346,3
HR@5,0.10777886897454785,0.001494367607764536,3
recall@5,0.08722083328806829,0.0016272570163470648,3
precision@5,0.06622473197479335,0.0003057785693145024,3
nDCG@10,0.08720510537235382,0.00017253661812930687,3
nDCG@5,0.09177904976684063,0.0002415272303789837,3
