user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
13155,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18188,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,4,0.25,0.14285714285714288,0.16812753627111746,0.25,0.2,0.5,0.20588235294117643,0.16812753627111746,0.5,0.2
14253,7,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.1
204,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17889,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13516,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4872,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12149,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8244,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16922,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17413,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19246,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
866,10,0.0,0.0,0.0,0.0,0.0,0.3,0.16363636363636364,0.20904936749052633,0.3,0.3
10370,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20307,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13301,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17520,12,0.0,0.0,0.0,0.0,0.0,0.1,0.05454545454545456,0.06943122193677725,0.08333333333333333,0.1
6001,8,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.1
505,8,0.2,0.3333333333333333,0.33916020527361607,0.125,0.2,0.25,0.1923076923076923,0.2529427027676571,0.25,0.2
12576,12,0.2,0.13333333333333333,0.14606834984270645,0.08333333333333333,0.2,0.1,0.12727272727272726,0.09478836436955078,0.08333333333333333,0.1
19729,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15965,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14414,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2951,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10401,32,0.4,0.3333333333333333,0.31564845247951445,0.0625,0.4,0.4,0.36363636363636365,0.3418189578169026,0.125,0.4
