metric,value,std_error,count
nDCG@5,0.083367559424444,0.0012414264322296877,3
nDCG@10,0.07596665291644532,0.0009137863538918918,3
HR@10,0.12769788658568426,0.0021632992559849442,3
WHR@5,0.0840324137402458,0.0013070915724237024,3
precision@10,0.054447990833947135,0.0013192964942880568,3
WHR@10,0.07386363185559276,0.0009721273356969214,3
recall@5,0.0798821737502992,0.0008769139080432585,3
precision@5,0.07195351501759555,0.0018487092261903397,3
HR@5,0.10523365250838856,0.0019813519159174015,3
recall@10,0.11900180382465185,0.0017916483220458848,3
