user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7,0.2,0.26666666666666666,0.2139862647345275,0.14285714285714285,0.2,0.14285714285714285,0.18367346938775508,0.17342765698823942,0.14285714285714285,0.1
18,3,0.3333333333333333,0.25,0.23463936301137822,0.3333333333333333,0.2,0.3333333333333333,0.2962962962962963,0.23463936301137822,0.3333333333333333,0.1
19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.1
26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.1
40,3,0.3333333333333333,0.4166666666666667,0.46927872602275644,0.3333333333333333,0.2,0.3333333333333333,0.37037037037037035,0.46927872602275644,0.3333333333333333,0.1
41,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,9,0.8,0.7333333333333334,0.7860137352654724,0.4444444444444444,0.8,0.4444444444444444,0.5740740740740741,0.5447249629530071,0.4444444444444444,0.4
60,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,5,0.2,0.19999999999999998,0.16958010263680803,0.2,0.2,0.2,0.2,0.16958010263680803,0.2,0.1
66,2,0.5,0.0,0.0,0.5,0.2,0.5,0.0,0.0,0.5,0.1
69,2,0.5,0.4444444444444445,0.3868528072345415,0.5,0.2,0.5,0.4736842105263158,0.3868528072345415,0.5,0.1
72,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2,0.5,0.0,0.0,0.5,0.2,0.5,0.0,0.0,0.5,0.1
95,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,4,0.25,0.2142857142857143,0.19519002499605081,0.25,0.2,0.25,0.23529411764705882,0.19519002499605081,0.25,0.1
