metric,value,std_error,count
WHR@10,0.07843262072597054,0.0010311447972998651,3
WHR@5,0.08694344093312913,0.0005890703496152985,3
precision@10,0.052025534004419345,0.0008600186539718627,3
HR@5,0.10184412254139726,0.000524117112566463,3
recall@5,0.07761154610108352,0.0007917070723702001,3
HR@10,0.11592117792093239,0.000987652441335981,3
recall@10,0.10745983952622122,0.0011594443364133166,3
precision@5,0.0697765774613307,0.0013031809018324264,3
nDCG@10,0.08001414765612126,0.001167343794642535,3
nDCG@5,0.08624062067119921,0.000632966400892096,3
