method,HR@5,nDCG@5,HR@10,nDCG@10
recency,0.0934991094670502,0.0605394502769716,0.1021464826511506,0.0604942278859536
frequency,0.0929647896972187,0.065342916459792,0.1015136730127042,0.0652943383295071
racf,0.0978656567435852,0.0705599786081541,0.1124261267734933,0.0704883375395122
tifuknn,0.1066095159806627,0.0755104811340528,0.1201815922971462,0.0754026594418376
fpmc,0.0686532401698862,0.0668440620835864,0.0699727061669989,0.0668383725417833
triple2vec,0.08948975397804,0.0596246516608407,0.0995693194389689,0.0594918768071711
sets2sets,0.1048137709666686,0.0787510376630089,0.1086569262586525,0.078662789396804
dnntsp,0.0754516274245004,0.0750045942208346,0.0755005578063531,0.0749933098557049
cbp,0.0949229835789638,0.0696076676580596,0.1088029251980282,0.0695289126683051
diffrec,0.0852699978470632,0.0769089802332637,0.0905752628493512,0.0768493897443156
