metric,value,std_error,count
recall@5,0.09466928639914546,0.0008059049973115776,3
WHR@5,0.06948827208647536,0.0006018728903149682,3
nDCG@5,0.06960766765805963,0.000600631456033807,3
recall@10,0.10878180074512993,0.000617285108791152,3
precision@5,0.02186600904233457,7.143165439842896e-05,3
nDCG@10,0.06952891266830513,0.0005800269617056545,3
WHR@10,0.06915418880806047,0.00055707960967653,3
precision@10,0.012829546121777937,4.2341040167505735e-05,3
HR@10,0.10880292519802824,0.0006115791910324402,3
HR@5,0.09492298357896384,0.0007549239627019211,3
