user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
26320,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3227,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24004,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19637,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24052,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7869,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9665,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7087,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1484,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17489,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7058,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19857,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8542,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6210,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21351,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
2404,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1119,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17245,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23703,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27224,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16488,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14188,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8274,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1913,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14005,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7852,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4085,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3252,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
22763,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26826,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
26101,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15202,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27636,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3885,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16809,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9221,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12701,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20082,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14348,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18879,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19499,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3358,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26995,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
21724,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3165,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9490,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1
13706,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4695,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6047,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23707,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9256,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13543,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3014,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18424,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1603,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19632,2,0.5,0.4444444444444445,0.3868528072345415,0.5,0.2,0.5,0.4736842105263158,0.3868528072345415,0.5,0.1
22986,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17855,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24495,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11446,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
24199,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6431,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28374,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5419,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24690,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20709,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13975,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20146,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13586,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
