metric,value,std_error,count
HR@10,0.09057526284935126,0.004427227372574966,3
HR@5,0.0852699978470632,0.0030475262242856374,3
WHR@5,0.0768957726946101,0.0007230304830671406,3
WHR@10,0.07674965898313385,0.0007106746754161823,3
recall@10,0.09055673889227168,0.004418550482691389,3
precision@5,0.018789266631436794,0.0009562674223022033,3
precision@10,0.010269508543244673,0.0007293378300366509,3
nDCG@5,0.07690898023326376,0.0007204587376727442,3
nDCG@10,0.07684938974431564,0.0007157945541642382,3
recall@5,0.08507617936460808,0.0029801679012708767,3
