user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
17618,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2172,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27455,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3503,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
785,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26135,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5207,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3075,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21115,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15864,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9346,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10350,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6693,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18872,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23735,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3845,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18337,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27621,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27820,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2139,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25805,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18691,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22808,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5135,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26192,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25949,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4499,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17056,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7706,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8017,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19218,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24356,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
