metric,value,std_error,count
recall@10,0.07549888019326102,0.0006160709075047238,3
WHR@5,0.07480080674549584,0.0006754066836950558,3
precision@10,0.007779930714579296,8.649474407055487e-05,3
nDCG@5,0.07500459422083468,0.0006992657166768007,3
nDCG@10,0.0749933098557049,0.000706456063082206,3
WHR@10,0.07465172954147441,0.0006737715796837055,3
HR@5,0.07545162742450041,0.0005869133525254834,3
HR@10,0.07550055780635312,0.0006144035122849208,3
precision@5,0.015548118137513944,0.00016936416067002449,3
recall@5,0.07544016373503779,0.0005949222246009773,3
