metric,value,std_error,count
nDCG@5,0.06684406208358647,0.0010975695712528107,3
precision@10,0.00737478715283894,0.00019331897872296785,3
HR@5,0.06865324016988628,0.0009891143260630769,3
precision@5,0.014326815806470555,0.00026855960603673894,3
recall@10,0.06997049476792298,0.001322059909602393,3
recall@5,0.06863015180788652,0.0009929349708308148,3
nDCG@10,0.06683837254178333,0.0011169456813194343,3
WHR@5,0.06667743135067426,0.0010983868994838093,3
WHR@10,0.06657568643071392,0.0011042109831902892,3
HR@10,0.06997270616699892,0.0013205974110742688,3
