user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
14082,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
17928,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21414,2,0.5,0.0,0.0,0.5,0.2,0.5,0.0,0.0,0.5,0.1
21545,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15920,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
5924,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25412,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23692,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15180,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
11088,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22125,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
14920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19661,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21845,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13629,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
22299,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20865,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24131,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7135,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19240,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28145,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16336,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
885,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11891,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22790,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
6804,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23653,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18908,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1885,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12047,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16671,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21620,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2996,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11295,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9994,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10552,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22258,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16439,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5408,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17080,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22097,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16429,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9718,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9110,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13134,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6031,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23361,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13675,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9267,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26063,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5890,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9076,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17217,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7980,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16160,5,0.2,0.26666666666666666,0.2139862647345275,0.2,0.2,0.4,0.225,0.2139862647345275,0.4,0.2
23345,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20294,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1134,4,0.25,0.0,0.0,0.25,0.2,0.25,0.0,0.0,0.25,0.1
4451,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
18065,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24210,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
6582,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18929,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12115,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17862,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25820,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14886,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13012,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21914,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13808,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21125,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14780,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16636,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
18163,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24913,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4228,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17576,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6569,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10076,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17260,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21736,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13246,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3615,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
6313,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26968,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21560,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13574,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25454,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15114,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25797,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23409,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20378,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14351,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1387,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11318,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23768,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15866,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11622,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1322,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
