metric,value,std_error,count
HR@5,0.09349910946705027,0.0004349919202667104,3
nDCG@5,0.0605394502769716,0.0019813223290020164,3
recall@10,0.10156408466695589,0.0009557709482631107,3
recall@5,0.0927015145880744,0.00047538489622188043,3
WHR@5,0.059923594043727914,0.0019951177673978335,3
precision@5,0.039400700683068134,0.0005291010318785655,3
precision@10,0.036894812727118524,0.0005560017640449053,3
nDCG@10,0.06049422788595363,0.001971901369901532,3
WHR@10,0.05958967540862679,0.001996649225042748,3
HR@10,0.1021464826511506,0.0009702899231138017,3
