metric,value,std_error,count
WHR@5,0.07951529518590414,0.0007875776810791873,3
WHR@10,0.07947849483607934,0.0007670128582254352,3
HR@5,0.10525009785830118,0.0006326790117697249,3
recall@10,0.10890416743466691,0.0008471815268551695,3
nDCG@10,0.0793227969813312,0.0007586892525383945,3
recall@5,0.10502087115386056,0.0006097669338800298,3
nDCG@5,0.0794175573669828,0.0007744340053286747,3
precision@5,0.02368730078845831,0.0003083035723786121,3
HR@10,0.10891657213687912,0.0008484581010624575,3
precision@10,0.012485321254823017,0.00019496123635580348,3
