user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
17529,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8093,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3018,1,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,1.0,0.1
3684,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6446,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26612,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9947,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10585,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2491,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24535,4,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.1
2264,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8386,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15627,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4662,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8640,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19656,2,0.5,0.4444444444444445,0.3868528072345415,0.5,0.2,0.5,0.4736842105263158,0.3868528072345415,0.5,0.1
19396,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15053,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22929,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
9237,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27571,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8040,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10666,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6489,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24967,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27853,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20134,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17129,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1139,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23995,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17065,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20441,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12113,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27839,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9226,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26714,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15414,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28178,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6080,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12769,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20937,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
9125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4841,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14594,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19273,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17598,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14184,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3642,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16844,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4098,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19625,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25270,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9156,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9424,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6528,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
27782,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1228,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20502,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
