metric,value,std_error,count
HR@10,0.12142699038458978,0.0005528869506589333,3
nDCG@10,0.0762004600978187,0.0006202818136051575,3
nDCG@5,0.07633608376245184,0.0006420632199332024,3
WHR@10,0.07570933876141751,0.0006227912155206231,3
WHR@5,0.0761454081157151,0.000616784959673307,3
recall@10,0.12141189895027338,0.0005534938149664155,3
recall@5,0.107630810144021,0.0002894532650888813,3
precision@5,0.025071296762288208,0.00011742996141587045,3
precision@10,0.014452273108538837,0.00010484817983559837,3
HR@5,0.10795098697086618,0.00029400479917009647,3
