metric,value,std_error,count
recall@10,0.09655968560100542,0.0002443411442740713,3
precision@10,0.011873007884583125,0.00013202546752807588,3
HR@10,0.0965757416594105,0.0002450356278696322,3
WHR@5,0.06213868984377289,0.00182234513853667,3
nDCG@5,0.062345954054155876,0.0018701874723834272,3
recall@5,0.0894671082171598,0.0009908004158632163,3
WHR@10,0.06176677664687902,0.0018559020407559047,3
precision@5,0.021263210870659285,0.00018548351272853602,3
nDCG@10,0.06221971575988689,0.0018812440638128305,3
HR@5,0.0897891852597439,0.0009815763427631838,3
