method,HR@5,nDCG@5,HR@10,nDCG@10
recency,0.0107427213309566,0.0094760304965168,0.0112517047222929,0.0094286981120271
frequency,0.0098181818181818,0.0076265852933025,0.0110020937667996,0.0075534189104364
racf,0.0090338680926916,0.0065307454506523,0.0105376453611747,0.006337308015823
tifuknn,0.0098550207961972,0.0084610170172241,0.0106623942506295,0.0081597317739575
fpmc,0.0025478312537136,0.0020970640645918,0.0037884446707976,0.0020280618173206
triple2vec,0.0093832442067736,0.0079038704277655,0.0099072800837506,0.0075466490789975
sets2sets,0.0106488413547237,0.0072686022080688,0.0151019438078261,0.0070022642505595
dnntsp,0.0100451574569221,0.0067056258942284,0.0164477265653736,0.0065089627513851
cbp,0.0091729055258467,0.0071686512079364,0.0100875986758339,0.0068788305942739
diffrec,0.0059797979797979,0.0047488070048419,0.0077007045242339,0.0045266807794838
