metric,value,std_error,count
HR@5,0.009172905525846703,0.00016836508036900704,3
recall@10,0.010044251937970585,0.00045433464867133033,3
nDCG@5,0.007168651207936478,8.45716189053804e-05,3
nDCG@10,0.006878830594273903,5.138915257698931e-05,3
WHR@5,0.007247036188212659,5.571119491293542e-05,3
HR@10,0.01008759867583397,0.00045438362866400555,3
precision@10,0.0032085561497326204,0.00012893505397522368,3
precision@5,0.005333333333333335,7.939770927386853e-05,3
WHR@10,0.006680861009464839,4.3850068783293774e-05,3
recall@5,0.00861463376137802,0.00017929014601285437,3
