metric,value,std_error,count
WHR@10,0.00428289439748017,8.164467682277128e-05,3
HR@10,0.007700704524233936,0.0006157245097007605,3
precision@10,0.00231729055258467,0.00010789836684792548,3
nDCG@10,0.004526680779483889,0.00012991711897381928,3
nDCG@5,0.004748807004841983,9.897474103089919e-05,3
recall@5,0.00560937655389734,0.0004548042187139749,3
HR@5,0.005979797979797978,0.00045011334401627866,3
WHR@5,0.004756359109300286,8.334391174485541e-05,3
precision@5,0.003450980392156863,1.4260249554367358e-05,3
recall@10,0.007672980013222724,0.0006202049015208843,3
