user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
2081,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13538,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15977,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8260,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11578,3,0.3333333333333333,0.4166666666666667,0.46927872602275644,0.3333333333333333,0.2,0.3333333333333333,0.37037037037037035,0.46927872602275644,0.3333333333333333,0.1
7164,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21723,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19235,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7642,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1730,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20946,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21997,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21696,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13315,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18761,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19465,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15603,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17753,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15009,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22158,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11383,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3696,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11319,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22647,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6336,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18643,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20423,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18798,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9508,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5469,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16106,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14099,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
