metric,value,std_error,count
nDCG@10,0.006508962751385135,0.0008021951168074795,3
recall@10,0.016424402156393347,0.0010885152567608658,3
precision@10,0.0038930481283422466,0.00022263807480921207,3
recall@5,0.009638012937163612,0.0010485205329671717,3
WHR@10,0.00613457446453983,0.000737501266979049,3
precision@5,0.004777183600713012,0.000387658530312105,3
nDCG@5,0.006705625894228409,0.0008191039269749888,3
WHR@5,0.006639447698271228,0.0007398735698429363,3
HR@10,0.016447726565373622,0.0010922307579821358,3
HR@5,0.010045157456922164,0.0010942405864672643,3
