metric,value,std_error,count
recall@5,0.0023922988572249344,0.0003379071954575376,3
recall@10,0.0037741309288965783,0.0004386884044823133,3
WHR@5,0.0021024248083071615,0.00035035929730888835,3
precision@5,0.0013404634581105173,0.0001243179734343151,3
precision@10,0.0010623885918003564,9.982174688057039e-05,3
HR@10,0.0037884446707976117,0.0004398942436336128,3
WHR@10,0.0019132298560635053,0.00036152825376402483,3
HR@5,0.0025478312537136065,0.0003445181885094104,3
nDCG@10,0.0020280618173206346,0.00034082426133547414,3
nDCG@5,0.0020970640645918796,0.00033420595275153464,3
