metric,value,std_error,count
precision@5,0.006939988116458705,0.00028109285474791886,3
WHR@5,0.006984296749002632,5.2385692387325324e-05,3
nDCG@10,0.007553418910436447,0.00010442675272954436,3
HR@10,0.011002093766799649,0.0004416729095931683,3
recall@10,0.009805446774031732,0.0002846103882705893,3
HR@5,0.009818181818181818,0.00030510630676023405,3
precision@10,0.006667572079336785,0.00029766370623319723,3
WHR@10,0.006409668285473715,7.499175586717914e-05,3
recall@5,0.008385549281941726,0.0003104660673708606,3
nDCG@5,0.007626585293302593,0.0001015066432113586,3
