user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
18734,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18243,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22500,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19000,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20720,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12883,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13780,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21493,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15690,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17309,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8559,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10928,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2309,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21135,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22566,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20032,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19987,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2984,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19493,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8267,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9553,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23009,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17377,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10321,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6612,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6995,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5454,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3462,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21134,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19461,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17259,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7061,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21871,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15108,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12044,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9771,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17567,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5785,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19864,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8033,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20124,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4911,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19818,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3974,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11572,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15645,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17712,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16334,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18900,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14849,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2830,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
