metric,value,std_error,count
HR@10,0.010537645361174774,0.0003784070534178553,3
nDCG@10,0.006337308015823045,0.00022318052634709413,3
recall@5,0.008472829500237988,0.000351045809790169,3
precision@10,0.003301247771836007,0.0001120587069197983,3
WHR@5,0.006674475850946438,0.0001708169027206701,3
precision@5,0.005290552584670232,0.00022949699735374114,3
HR@5,0.00903386809269162,0.00038199994231295585,3
nDCG@5,0.006530745450652375,0.0002006150901543416,3
recall@10,0.010489520276287051,0.00037566800775243103,3
WHR@10,0.006313313961035024,0.00022857101469675722,3
