metric,value,std_error,count
WHR@5,0.008712559771383301,0.0005689081993472774,3
recall@10,0.010057243303903125,0.00034667630758221737,3
HR@10,0.011251704722292956,0.00044826232805150225,3
recall@5,0.009273485172551414,0.0002699625343193128,3
HR@5,0.010742721330956625,0.0003600909105179344,3
nDCG@5,0.009476030496516852,0.0006630839144706986,3
precision@10,0.006738873327108621,0.00029692098514071076,3
precision@5,0.007453357100415924,0.00031600166379150543,3
WHR@10,0.008122850134883206,0.00041173185045524153,3
nDCG@10,0.009428698112027177,0.0006846092776319706,3
