metric,value,std_error,count
nDCG@5,0.007268602208068803,6.313387294660109e-05,3
precision@5,0.005832442067736186,9.351070979396838e-05,3
WHR@10,0.0067172617306106115,4.7937880738492674e-05,3
recall@10,0.015059245263124335,0.00028740615478928673,3
precision@10,0.004149732620320856,3.267433650592407e-05,3
recall@5,0.010091229222915783,5.8001943004658616e-05,3
HR@10,0.01510194380782616,0.00028798941642146073,3
nDCG@10,0.007002264250559512,5.303778320809171e-05,3
WHR@5,0.007285233285233286,8.34576015668468e-05,3
HR@5,0.010648841354723708,6.739131017828982e-05,3
