metric,value,std_error,count
WHR@10,0.007136421983542931,0.0001152464157234008,3
nDCG@10,0.007546649078997588,0.00017900512110428864,3
recall@10,0.009866418086339942,0.0002961629569781523,3
recall@5,0.008828182406393032,0.0001972933908002851,3
nDCG@5,0.007903870427765561,0.0001694217377794661,3
WHR@5,0.00787482669835611,0.00011886428294847046,3
HR@5,0.009383244206773618,0.00019029998926760309,3
HR@10,0.009907280083750672,0.00029493125567573374,3
precision@10,0.0030588235294117653,9.64545401673347e-05,3
precision@5,0.005361853832442067,5.141606096918325e-05,3
