method,HR@5,nDCG@5,HR@10,nDCG@10
recency,0.2062779387047169,0.2110337618080925,0.2069618143362913,0.1887306894370033
frequency,0.3239262597003183,0.3346005059179056,0.3007430950422582,0.2934669623645171
racf,0.3258135750813575,0.3365684781723045,0.3030645512863086,0.2954926885548479
tifuknn,0.3324366126667382,0.3512993686065053,0.3025888589173108,0.3066231581843691
fpmc,0.1925857382970353,0.2128988409324111,0.1692760246107526,0.1806341016153278
triple2vec,0.3279038372134606,0.3460149961710697,0.2979321314049348,0.3010717614701867
sets2sets,0.2365733290419482,0.2581366561572473,0.2132196584602442,0.2202219742486123
dnntsp,0.3065541966169581,0.3197899516270424,0.2825442804522303,0.2790552468999768
cbp,0.3245914243822194,0.3368133110788904,0.300009664131003,0.2948866127685844
diffrec,0.3027536387369023,0.3189704095103846,0.2742844711463958,0.2776243775011158
