user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
29315,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,0.5,0.5263157894736842,0.6131471927654584,0.5,0.1
25175,6,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.1
12559,24,0.4,0.4666666666666666,0.48522855511632257,0.08333333333333333,0.4,0.2,0.3090909090909091,0.31488013066763093,0.08333333333333333,0.2
10821,5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.1
29590,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9794,14,0.4,0.6,0.5531464700081437,0.14285714285714285,0.4,0.4,0.43636363636363645,0.494639655562801,0.2857142857142857,0.4
30499,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
1401,18,0.6,0.7999999999999999,0.7227265726449518,0.16666666666666666,0.6,0.4,0.5818181818181819,0.5473983622993501,0.2222222222222222,0.4
5965,7,0.2,0.3333333333333333,0.33916020527361607,0.14285714285714285,0.2,0.42857142857142855,0.2857142857142857,0.3665017772190545,0.42857142857142855,0.3
1489,9,0.2,0.3333333333333333,0.33916020527361607,0.1111111111111111,0.2,0.1111111111111111,0.18518518518518517,0.23504554941448538,0.1111111111111111,0.1
24669,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13312,18,0.2,0.06666666666666665,0.13120507751234176,0.05555555555555555,0.2,0.2,0.16363636363636364,0.15457433957839825,0.1111111111111111,0.2
30142,26,0.6,0.7333333333333334,0.6992148198508501,0.11538461538461539,0.6,0.4,0.5636363636363636,0.5321408435198608,0.15384615384615385,0.4
955,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10213,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27691,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19974,13,0.0,0.0,0.0,0.0,0.0,0.1,0.07272727272727274,0.07336392209936006,0.07692307692307693,0.1
19680,9,0.2,0.3333333333333333,0.33916020527361607,0.1111111111111111,0.2,0.1111111111111111,0.18518518518518517,0.23504554941448538,0.1111111111111111,0.1
5257,18,0.4,0.26666666666666666,0.3007851801491498,0.1111111111111111,0.4,0.4,0.4,0.34301849170611365,0.2222222222222222,0.4
14769,33,0.6,0.7333333333333334,0.6992148198508501,0.09090909090909091,0.6,0.3,0.47272727272727266,0.4537425745411855,0.09090909090909091,0.3
6437,21,0.2,0.13333333333333333,0.14606834984270645,0.047619047619047616,0.2,0.2,0.14545454545454545,0.15840915256850246,0.09523809523809523,0.2
2820,6,0.2,0.19999999999999998,0.16958010263680803,0.16666666666666666,0.2,0.16666666666666666,0.17777777777777778,0.15130120674940672,0.16666666666666666,0.1
5683,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6164,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15149,28,1.0,1.0,1.0,0.17857142857142858,1.0,0.7,0.7999999999999999,0.7819835854675756,0.25,0.7
24028,9,0.4,0.19999999999999998,0.2772734273550482,0.2222222222222222,0.4,0.2222222222222222,0.2407407407407407,0.192156638831279,0.2222222222222222,0.2
9618,11,0.0,0.0,0.0,0.0,0.0,0.2,0.12727272727272726,0.14465249243306436,0.18181818181818182,0.2
14010,15,0.4,0.5333333333333333,0.5087403079104241,0.13333333333333333,0.4,0.2,0.32727272727272727,0.3301376494471202,0.13333333333333333,0.2
1921,12,0.0,0.0,0.0,0.0,0.0,0.1,0.018181818181818177,0.0636207881989517,0.08333333333333333,0.1
2356,55,0.8,0.7333333333333334,0.7860137352654724,0.07272727272727272,0.8,0.7,0.7454545454545456,0.7241528458281336,0.12727272727272726,0.7
27865,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25668,11,0.6,0.7333333333333334,0.6992148198508501,0.2727272727272727,0.6,0.4,0.5636363636363636,0.5321408435198608,0.36363636363636365,0.4
24715,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23406,35,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,0.2857142857142857,1.0
25650,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9927,39,1.0,1.0,1.0,0.1282051282051282,1.0,0.7,0.8727272727272727,0.7967610662472991,0.1794871794871795,0.7
30288,6,0.2,0.26666666666666666,0.2139862647345275,0.16666666666666666,0.2,0.3333333333333333,0.2,0.1909208661789346,0.3333333333333333,0.2
29801,4,0.25,0.28571428571428575,0.2463023887407299,0.25,0.2,0.5,0.2647058823529412,0.2463023887407299,0.5,0.2
9180,5,0.4,0.26666666666666666,0.3007851801491498,0.4,0.4,0.4,0.35,0.3007851801491498,0.4,0.2
10695,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25544,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
12176,13,0.4,0.4666666666666666,0.48522855511632257,0.15384615384615385,0.4,0.4,0.4,0.4518648409659427,0.3076923076923077,0.4
26491,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28170,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30585,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4996,30,0.6,0.7333333333333334,0.6992148198508501,0.1,0.6,0.5,0.5454545454545454,0.5867945846769144,0.16666666666666666,0.5
24331,9,0.2,0.06666666666666665,0.13120507751234176,0.1111111111111111,0.2,0.1111111111111111,0.1111111111111111,0.09092803061897882,0.1111111111111111,0.1
1961,8,0.4,0.39999999999999997,0.4703652827859578,0.25,0.4,0.25,0.3076923076923077,0.35079429740281753,0.25,0.2
